inputSeq,outputSeq
the police often called investigate pother rural neighborhoods ,The police are often called to investigate a pother in rural neighborhoods.
deep rounded potholes filled gravel road making hard vehicles drive route ,"Deep, rounded potholes filled the gravel road, making it hard for vehicles to drive on the route."
the witch made magical potion mixture didnt make young like hoped would ,"The witch made a magical potion, but the mixture didnt to make her young again like she hoped it would."
a potluck sometimes many dish guests dont know others going bring ,A potluck sometimes has many of the same dish because the guests dont know what the others are going to bring.
new york city potpourri various nationalities religions ,New York City is a potpourri of various nationalities and religions.
ricky likes keep marbles small pouch doesnt lose them ,Ricky likes to keep his marbles in a small pouch so he doesnt lose them.
applying thick layer poultice burn stopped welting ,Applying a thick layer of poultice to the burn stopped it from welting.
the common poultry bird chicken ,The most common poultry bird is the chicken.
when wildebeest unaware surroundings lion pounce catch guard ,"When a wildebeest is unaware of its surroundings, a lion will pounce to catch it off guard."
boxers pound away try knock opponent ,Boxers pound away at each other as they try to knock out their opponent.
